id,uname,cname,ucas,duration,qualification,entry,created_at,updated_at,universities_id,ucasletters_id,url
1754,University of Glasgow,English Literature/Film & Television Studies,QW3P,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.444240,2016-08-03 20:26:20.444240,,,http://www.gla.ac.uk/undergraduate/degrees/
1755,University of Glasgow,English Literature/French,QR3C,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.457080,2016-08-03 20:26:20.457080,,,http://www.gla.ac.uk/undergraduate/degrees/
1756,University of Glasgow,English Literature/German,QR3F,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.468001,2016-08-03 20:26:20.468001,,,http://www.gla.ac.uk/undergraduate/degrees/
1757,University of Glasgow,English Literature/History,QV3C,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.484477,2016-08-03 20:26:20.484477,,,http://www.gla.ac.uk/undergraduate/degrees/
1758,University of Glasgow,English Literature/History of Art,QVHH,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.497964,2016-08-03 20:26:20.497964,,,http://www.gla.ac.uk/undergraduate/degrees/
1759,University of Glasgow,English Literature/Latin,QQ3P,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.514252,2016-08-03 20:26:20.514252,,,http://www.gla.ac.uk/undergraduate/degrees/
1760,University of Glasgow,English Literature/Mathematics,QG3C,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.526367,2016-08-03 20:26:20.526367,,,http://www.gla.ac.uk/undergraduate/degrees/
1761,University of Glasgow,English Literature/Music,QW3H,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.538351,2016-08-03 20:26:20.538351,,,http://www.gla.ac.uk/undergraduate/degrees/
1762,University of Glasgow,English Literature/Philosophy,QV3M,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.550801,2016-08-03 20:26:20.550801,,,http://www.gla.ac.uk/undergraduate/degrees/
1763,University of Glasgow,English Literature/Politics,LQ2H,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.563403,2016-08-03 20:26:20.563403,,,http://www.gla.ac.uk/undergraduate/degrees/
1764,University of Glasgow,English Literature/Russian,QRHR,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.575598,2016-08-03 20:26:20.575598,,,http://www.gla.ac.uk/undergraduate/degrees/
1765,University of Glasgow,English Literature/Scottish History,QVHF,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.587782,2016-08-03 20:26:20.587782,,,http://www.gla.ac.uk/undergraduate/degrees/
1766,University of Glasgow,English Literature/Scottish Literature,QQ2H,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.602289,2016-08-03 20:26:20.602289,,,http://www.gla.ac.uk/undergraduate/degrees/
1767,University of Glasgow,English Literature/Sociology,LQ3H,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.627609,2016-08-03 20:26:20.627609,,,http://www.gla.ac.uk/undergraduate/degrees/
1768,University of Glasgow,Film & Television Studies/French,RW16,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.642617,2016-08-03 20:26:20.642617,,,http://www.gla.ac.uk/undergraduate/degrees/
1769,University of Glasgow,Film & Television Studies/German,RW26,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.655130,2016-08-03 20:26:20.655130,,,http://www.gla.ac.uk/undergraduate/degrees/
1770,University of Glasgow,Film & Television Studies/History,VW16,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.667948,2016-08-03 20:26:20.667948,,,http://www.gla.ac.uk/undergraduate/degrees/
1771,University of Glasgow,Film & Television Studies/History of Art,VW36,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.680269,2016-08-03 20:26:20.680269,,,http://www.gla.ac.uk/undergraduate/degrees/
1772,University of Glasgow,Film & Television Studies/Music,WW36,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.693143,2016-08-03 20:26:20.693143,,,http://www.gla.ac.uk/undergraduate/degrees/
1773,University of Glasgow,Film & Television Studies/Philosophy,VW56,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.704209,2016-08-03 20:26:20.704209,,,http://www.gla.ac.uk/undergraduate/degrees/
1774,University of Glasgow,Film & Television Studies/Politics,LW26,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.719470,2016-08-03 20:26:20.719470,,,http://www.gla.ac.uk/undergraduate/degrees/
1775,University of Glasgow,Film & Television Studies/Scottish History,VWF6,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.732523,2016-08-03 20:26:20.732523,,,http://www.gla.ac.uk/undergraduate/degrees/
1776,University of Glasgow,Film & Television Studies/Scottish Literature,QW26,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.745159,2016-08-03 20:26:20.745159,,,http://www.gla.ac.uk/undergraduate/degrees/
1777,University of Glasgow,Film & Television Studies/Social & Public Policy,LW46,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.756559,2016-08-03 20:26:20.756559,,,http://www.gla.ac.uk/undergraduate/degrees/
1778,University of Glasgow,Film & Television Studies/Sociology,LW36,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.770556,2016-08-03 20:26:20.770556,,,http://www.gla.ac.uk/undergraduate/degrees/
1779,University of Glasgow,Film & Television Studies/Theatre Studies,WW46,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.784616,2016-08-03 20:26:20.784616,,,http://www.gla.ac.uk/undergraduate/degrees/
1780,University of Glasgow,Finance and Mathematics,NG3C,4 Years,BSc (Hons),AAA - A*AB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.797031,2016-08-03 20:26:20.797031,,,http://www.gla.ac.uk/undergraduate/degrees/financemathematics/
1781,University of Glasgow,Finance and Statistics,GN33,4 Years,BSc (Hons),AAA - A*AB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.808685,2016-08-03 20:26:20.808685,,,http://www.gla.ac.uk/undergraduate/degrees/financestatistics/
1782,University of Glasgow,French/Business & Management,NR21,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.826386,2016-08-03 20:26:20.826386,,,http://www.gla.ac.uk/undergraduate/degrees/
1783,University of Glasgow,French/Geography,LR71,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.841118,2016-08-03 20:26:20.841118,,,http://www.gla.ac.uk/undergraduate/degrees/
1784,University of Glasgow,French/German,RR12,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.851888,2016-08-03 20:26:20.851888,,,http://www.gla.ac.uk/undergraduate/degrees/
1785,University of Glasgow,French/History,VR11,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.864222,2016-08-03 20:26:20.864222,,,http://www.gla.ac.uk/undergraduate/degrees/
1786,University of Glasgow,French/History of Art,RVC3,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.876352,2016-08-03 20:26:20.876352,,,http://www.gla.ac.uk/undergraduate/degrees/
1787,University of Glasgow,French/Italian,RR13,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.888593,2016-08-03 20:26:20.888593,,,http://www.gla.ac.uk/undergraduate/degrees/
1788,University of Glasgow,French/Latin,QR61,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.900703,2016-08-03 20:26:20.900703,,,http://www.gla.ac.uk/undergraduate/degrees/
1789,University of Glasgow,French/Mathematics,GR11,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.912803,2016-08-03 20:26:20.912803,,,http://www.gla.ac.uk/undergraduate/degrees/
1790,University of Glasgow,French/Music,RW13,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.926633,2016-08-03 20:26:20.926633,,,http://www.gla.ac.uk/undergraduate/degrees/
1791,University of Glasgow,French/Politics,LR21,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.938729,2016-08-03 20:26:20.938729,,,http://www.gla.ac.uk/undergraduate/degrees/
1792,University of Glasgow,French/Psychology,CR81,5 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:20.948998,2016-08-03 20:26:20.948998,,,http://www.gla.ac.uk/undergraduate/degrees/
1793,University of Glasgow,French/Russian,RR17,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.959511,2016-08-03 20:26:20.959511,,,http://www.gla.ac.uk/undergraduate/degrees/
1794,University of Glasgow,French/Theatre Studies,RW14,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.971450,2016-08-03 20:26:20.971450,,,http://www.gla.ac.uk/undergraduate/degrees/
1795,University of Glasgow,French/Theology & Religious Studies,RV16,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.983814,2016-08-03 20:26:20.983814,,,http://www.gla.ac.uk/undergraduate/degrees/
1796,University of Glasgow,Gaelic/Business & Management,QN52,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:20.996069,2016-08-03 20:26:20.996069,,,http://www.gla.ac.uk/undergraduate/degrees/
1797,University of Glasgow,Gaelic/Celtic Civilisation,Q590,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.008461,2016-08-03 20:26:21.008461,,,http://www.gla.ac.uk/undergraduate/degrees/
1798,University of Glasgow,Gaelic/Central & East European Studies,QR5R,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.020924,2016-08-03 20:26:21.020924,,,http://www.gla.ac.uk/undergraduate/degrees/
1799,University of Glasgow,Gaelic/Comparative Literature,QQ5F,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.040313,2016-08-03 20:26:21.040313,,,http://www.gla.ac.uk/undergraduate/degrees/
1800,University of Glasgow,Gaelic/English Language,QQ53,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.054347,2016-08-03 20:26:21.054347,,,http://www.gla.ac.uk/undergraduate/degrees/
1801,University of Glasgow,Gaelic/French,QR5C,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.064487,2016-08-03 20:26:21.064487,,,http://www.gla.ac.uk/undergraduate/degrees/
1802,University of Glasgow,Gaelic/German,QR5F,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.075754,2016-08-03 20:26:21.075754,,,http://www.gla.ac.uk/undergraduate/degrees/
1803,University of Glasgow,Gaelic/History,QV5C,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.087315,2016-08-03 20:26:21.087315,,,http://www.gla.ac.uk/undergraduate/degrees/
1804,University of Glasgow,Gaelic/Mathematics,QG51,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.099185,2016-08-03 20:26:21.099185,,,http://www.gla.ac.uk/undergraduate/degrees/
1805,University of Glasgow,Gaelic/Psychology,QC58,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.110959,2016-08-03 20:26:21.110959,,,http://www.gla.ac.uk/undergraduate/degrees/
1806,University of Glasgow,Gaelic/Scottish History,QV52,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.123932,2016-08-03 20:26:21.123932,,,http://www.gla.ac.uk/undergraduate/degrees/
1807,University of Glasgow,Gaelic/Scottish Literature,Q591,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.137116,2016-08-03 20:26:21.137116,,,http://www.gla.ac.uk/undergraduate/degrees/
1808,University of Glasgow,Gaelic/Social & Public Policy,QL54,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.150390,2016-08-03 20:26:21.150390,,,http://www.gla.ac.uk/undergraduate/degrees/
1809,University of Glasgow,Geography and Mathematics,FG81,4 Years,BSc (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.162962,2016-08-03 20:26:21.162962,,,http://www.gla.ac.uk/undergraduate/degrees/index.html
1810,University of Glasgow,Geography and Statistics,FG83,4 Years,BSc (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.175496,2016-08-03 20:26:21.175496,,,http://www.gla.ac.uk/undergraduate/degrees/index.html
1811,University of Glasgow,Geography/Business & Management (SocSci),LN72,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.187487,2016-08-03 20:26:21.187487,,,http://www.gla.ac.uk/undergraduate/degrees/
1812,University of Glasgow,Geography/Celtic Studies,QL57,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.199613,2016-08-03 20:26:21.199613,,,http://www.gla.ac.uk/undergraduate/degrees/
1813,University of Glasgow,Geography/German,LR72,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.212551,2016-08-03 20:26:21.212551,,,http://www.gla.ac.uk/undergraduate/degrees/
1814,University of Glasgow,Geography/History,LV71,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.228678,2016-08-03 20:26:21.228678,,,http://www.gla.ac.uk/undergraduate/degrees/
1815,University of Glasgow,Geography/History of Art,LVR3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.241941,2016-08-03 20:26:21.241941,,,http://www.gla.ac.uk/undergraduate/degrees/
1816,University of Glasgow,Geography/Music,LW73,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.255118,2016-08-03 20:26:21.255118,,,http://www.gla.ac.uk/undergraduate/degrees/
1817,University of Glasgow,Geography/Philosophy,LV75,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.267756,2016-08-03 20:26:21.267756,,,http://www.gla.ac.uk/undergraduate/degrees/
1818,University of Glasgow,Geography/Politics (SocSci),LL72,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.280730,2016-08-03 20:26:21.280730,,,http://www.gla.ac.uk/undergraduate/degrees/
1819,University of Glasgow,Geography/Scottish History,LVR2,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.291383,2016-08-03 20:26:21.291383,,,http://www.gla.ac.uk/undergraduate/degrees/
1820,University of Glasgow,Geography/Scottish Literature,LQ72,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.303575,2016-08-03 20:26:21.303575,,,http://www.gla.ac.uk/undergraduate/degrees/
1821,University of Glasgow,Geography/Social & Public Policy (SocSci),LL47,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.315189,2016-08-03 20:26:21.315189,,,http://www.gla.ac.uk/undergraduate/degrees/
1822,University of Glasgow,Geography/Sociology (SocSci),LL37,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.327390,2016-08-03 20:26:21.327390,,,http://www.gla.ac.uk/undergraduate/degrees/
1823,University of Glasgow,Geography/Theatre Studies,LW74,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.339392,2016-08-03 20:26:21.339392,,,http://www.gla.ac.uk/undergraduate/degrees/
1824,University of Glasgow,German/Business & Management,NR22,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.350617,2016-08-03 20:26:21.350617,,,http://www.gla.ac.uk/undergraduate/degrees/
1825,University of Glasgow,German/Economics,RL21,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.364003,2016-08-03 20:26:21.364003,,,http://www.gla.ac.uk/undergraduate/degrees/
1826,University of Glasgow,German/History of Art,RVF3,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.375892,2016-08-03 20:26:21.375892,,,http://www.gla.ac.uk/undergraduate/degrees/
1827,University of Glasgow,German/Italian,RR23,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.388377,2016-08-03 20:26:21.388377,,,http://www.gla.ac.uk/undergraduate/degrees/
1828,University of Glasgow,German/Mathematics,GR12,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.400520,2016-08-03 20:26:21.400520,,,http://www.gla.ac.uk/undergraduate/degrees/
1829,University of Glasgow,German/Music,RW23,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.415366,2016-08-03 20:26:21.415366,,,http://www.gla.ac.uk/undergraduate/degrees/
1830,University of Glasgow,German/Philosophy,RV25,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.431911,2016-08-03 20:26:21.431911,,,http://www.gla.ac.uk/undergraduate/degrees/
1831,University of Glasgow,German/Politics,LR22,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.444924,2016-08-03 20:26:21.444924,,,http://www.gla.ac.uk/undergraduate/degrees/
1832,University of Glasgow,German/Psychology,CR82,5 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.457068,2016-08-03 20:26:21.457068,,,http://www.gla.ac.uk/undergraduate/degrees/
1833,University of Glasgow,German/Russian,RR27,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.468398,2016-08-03 20:26:21.468398,,,http://www.gla.ac.uk/undergraduate/degrees/
1834,University of Glasgow,Greek/History of Art,QVR3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.484193,2016-08-03 20:26:21.484193,,,http://www.gla.ac.uk/undergraduate/degrees/
1835,University of Glasgow,Greek/Latin,QQ67,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.496558,2016-08-03 20:26:21.496558,,,http://www.gla.ac.uk/undergraduate/degrees/
1836,University of Glasgow,Greek/Politics,LQ27,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.510331,2016-08-03 20:26:21.510331,,,http://www.gla.ac.uk/undergraduate/degrees/
1837,University of Glasgow,Greek/Social & Public Policy,LQ47,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.522616,2016-08-03 20:26:21.522616,,,http://www.gla.ac.uk/undergraduate/degrees/
1838,University of Glasgow,Hispanic Studies,RR45,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.534978,2016-08-03 20:26:21.534978,,,http://www.gla.ac.uk/undergraduate/degrees/hispanicstudies/
1839,University of Glasgow,History of Art/Business & Management,NVF3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.547324,2016-08-03 20:26:21.547324,,,http://www.gla.ac.uk/undergraduate/degrees/
1840,University of Glasgow,History of Art/Italian,RVH3,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.559615,2016-08-03 20:26:21.559615,,,http://www.gla.ac.uk/undergraduate/degrees/
1841,University of Glasgow,History of Art/Latin,QVP3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.571961,2016-08-03 20:26:21.571961,,,http://www.gla.ac.uk/undergraduate/degrees/
1842,University of Glasgow,History of Art/Mathematics,GVC3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.584173,2016-08-03 20:26:21.584173,,,http://www.gla.ac.uk/undergraduate/degrees/
1843,University of Glasgow,History of Art/Music,VWH3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.597150,2016-08-03 20:26:21.597150,,,http://www.gla.ac.uk/undergraduate/degrees/
1844,University of Glasgow,History of Art/Philosophy,VVH5,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.620425,2016-08-03 20:26:21.620425,,,http://www.gla.ac.uk/undergraduate/degrees/
1845,University of Glasgow,History of Art/Politics,LVF3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.648184,2016-08-03 20:26:21.648184,,,http://www.gla.ac.uk/undergraduate/degrees/
1846,University of Glasgow,History of Art/Psychology,CVV3,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.660241,2016-08-03 20:26:21.660241,,,http://www.gla.ac.uk/undergraduate/degrees/
1847,University of Glasgow,History of Art/Russian,RV73,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.676099,2016-08-03 20:26:21.676099,,,http://www.gla.ac.uk/undergraduate/degrees/
1848,University of Glasgow,History of Art/Scottish History,VVF3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.687849,2016-08-03 20:26:21.687849,,,http://www.gla.ac.uk/undergraduate/degrees/
1849,University of Glasgow,History of Art/Scottish Literature,QV23,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.699763,2016-08-03 20:26:21.699763,,,http://www.gla.ac.uk/undergraduate/degrees/
1850,University of Glasgow,History of Art/Social & Public Policy,LVK3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.712620,2016-08-03 20:26:21.712620,,,http://www.gla.ac.uk/undergraduate/degrees/
1851,University of Glasgow,History of Art/Theatre Studies,VWH4,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.724812,2016-08-03 20:26:21.724812,,,http://www.gla.ac.uk/undergraduate/degrees/
1852,University of Glasgow,History of Art/Theology & Religious Studies,VV36,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.736777,2016-08-03 20:26:21.736777,,,http://www.gla.ac.uk/undergraduate/degrees/
1853,University of Glasgow,History/Business & Management,NVF1,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.748970,2016-08-03 20:26:21.748970,,,http://www.gla.ac.uk/undergraduate/degrees/
1854,University of Glasgow,History/Business & Management (SocSci),NV21,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.762426,2016-08-03 20:26:21.762426,,,http://www.gla.ac.uk/undergraduate/degrees/
1855,University of Glasgow,History/History of Art,VVD3,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.774397,2016-08-03 20:26:21.774397,,,http://www.gla.ac.uk/undergraduate/degrees/
1856,University of Glasgow,History/Italian,RV31,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.784121,2016-08-03 20:26:21.784121,,,http://www.gla.ac.uk/undergraduate/degrees/
1857,University of Glasgow,History/Latin,QV61,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.796078,2016-08-03 20:26:21.796078,,,http://www.gla.ac.uk/undergraduate/degrees/
1858,University of Glasgow,History/Mathematics,GV11,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.812908,2016-08-03 20:26:21.812908,,,http://www.gla.ac.uk/undergraduate/degrees/
1859,University of Glasgow,History/Music,VW13,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.824278,2016-08-03 20:26:21.824278,,,http://www.gla.ac.uk/undergraduate/degrees/
1860,University of Glasgow,History/Philosophy,VVC5,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.840111,2016-08-03 20:26:21.840111,,,http://www.gla.ac.uk/undergraduate/degrees/
1861,University of Glasgow,History/Politics,LVF1,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.854516,2016-08-03 20:26:21.854516,,,http://www.gla.ac.uk/undergraduate/degrees/
1862,University of Glasgow,History/Politics (SocSci),LV21,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.866713,2016-08-03 20:26:21.866713,,,http://www.gla.ac.uk/undergraduate/degrees/
1863,University of Glasgow,History/Psychology,CV81,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.878846,2016-08-03 20:26:21.878846,,,http://www.gla.ac.uk/undergraduate/degrees/
1864,University of Glasgow,History/Russian,RV71,5 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.890650,2016-08-03 20:26:21.890650,,,http://www.gla.ac.uk/undergraduate/degrees/
1865,University of Glasgow,History/Scottish Literature,QV21,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.902236,2016-08-03 20:26:21.902236,,,http://www.gla.ac.uk/undergraduate/degrees/
1866,University of Glasgow,History/Sociology (SocSci),LV31,4 Years,MA (Hons),AAB Typical offerAABB - AAAAAA Typical offer,2016-08-03 20:26:21.913025,2016-08-03 20:26:21.913025,,,http://www.gla.ac.uk/undergraduate/degrees/
1867,University of Glasgow,History/Theatre Studies,VW14,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.926867,2016-08-03 20:26:21.926867,,,http://www.gla.ac.uk/undergraduate/degrees/
1868,University of Glasgow,History/Theology & Religious Studies,VV16,4 Years,MA (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.942522,2016-08-03 20:26:21.942522,,,http://www.gla.ac.uk/undergraduate/degrees/
1869,University of Glasgow,Human Biology and Nutrition,C1B4,4 Years,BSc (Hons),AAB Typical offerABBB - AAAAAB Typical offer,2016-08-03 20:26:21.954686,2016-08-03 20:26:21.954686,,,
