id,uname,cname,ucas,duration,qualification,entry,created_at,updated_at,universities_id,ucasletters_id,url
646,University of Dundee,Geography with French,L7R1,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.264361,2016-08-03 20:26:05.264361,,,
647,University of Dundee,Geography with German,L7R2,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.276621,2016-08-03 20:26:05.276621,,,
648,University of Dundee,Geography with Spanish,L7R4,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.288183,2016-08-03 20:26:05.288183,,,
649,University of Dundee,History and European Languages,V4W2,4 Years,MA (Hons),,2016-08-03 20:26:05.300246,2016-08-03 20:26:05.300246,,,http://www.dundee.ac.uk/study/ug/history/
650,University of Dundee,History and International Relations,LV2C,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.312272,2016-08-03 20:26:05.312272,,,
651,University of Dundee,History and Philosophy,VV15,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.324239,2016-08-03 20:26:05.324239,,,
652,University of Dundee,History and Politics,LV21,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.336382,2016-08-03 20:26:05.336382,,,
653,University of Dundee,History and Psychology,CV81,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.349072,2016-08-03 20:26:05.349072,,,
654,University of Dundee,History with French,V1R1,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.359730,2016-08-03 20:26:05.359730,,,
655,University of Dundee,History with German,V1R2,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.372509,2016-08-03 20:26:05.372509,,,
656,University of Dundee,History with Spanish,V1R4,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.384923,2016-08-03 20:26:05.384923,,,
657,University of Dundee,International Business and Environmental Sustainability,NF17,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.398504,2016-08-03 20:26:05.398504,,,
658,University of Dundee,International Business and Finance,NN1H,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:26:05.412234,2016-08-03 20:26:05.412234,,,
